cluster,source,target,weight
3,sorcière,ville,0.9754079580307007
3,sorcière,jolie,0.9751610159873962
3,sorcière,petite,0.9728805422782898
3,sorcière,belle,0.9728571772575378
3,sorcière,figure,0.9693573713302612
3,sorcière,médecin,0.9688126444816589
3,sorcière,frère,0.967655599117279
3,sorcière,vieille,0.9666864275932312
3,sorcière,joue,0.966328501701355
3,sorcière,lettre,0.9660294651985168
3,sorcière,marié,0.9630798101425171
3,sorcière,éprend,0.9622414112091064
3,sorcière,rôle,0.9620392322540283
3,sorcière,fit,0.9614070057868958
3,sorcière,élève,0.9614061713218689
3,sorcière,née,0.9612294435501099
3,sorcière,amie,0.9610947370529175
3,sorcière,amant,0.9601871371269226
3,sorcière,américaine,0.9595988988876343
4,sorcière,aimée,0.9842188954353333
4,sorcière,comte,0.9835245609283447
4,sorcière,conduire,0.9807136654853821
4,sorcière,venez,0.9789325594902039
4,sorcière,réponses,0.9788755774497986
4,sorcière,séquence,0.9787852764129639
4,sorcière,dernière,0.9778648614883423
4,sorcière,dejeuner,0.9758321046829224
4,sorcière,parole,0.9753283262252808
4,sorcière,lire,0.9745665788650513
4,sorcière,point,0.9745648503303528
4,sorcière,agence,0.973930835723877
4,sorcière,écran,0.9729557037353516
4,sorcière,arrivée,0.9729503989219666
4,sorcière,yoster,0.9727915525436401
4,sorcière,équipe,0.9726699590682983
4,sorcière,intéressera,0.9722549319267273
4,sorcière,visite,0.9722334146499634
4,sorcière,permis,0.9722061157226562
4,sorcière,chevaliers,0.9717310667037964
5,sorcière,jolie,0.9804359078407288
5,sorcière,joue,0.9792765378952026
5,sorcière,belle,0.9784395098686218
5,sorcière,épouse,0.9717912673950195
5,sorcière,vedette,0.9695940017700195
5,sorcière,personnage,0.9683407545089722
5,sorcière,vieille,0.9672973155975342
5,sorcière,dramatique,0.9643995761871338
5,sorcière,beau,0.9639737606048584
5,sorcière,idée,0.9639066457748413
5,sorcière,figure,0.9627196192741394
5,sorcière,acteur,0.9611651301383972
5,sorcière,mari,0.9596163630485535
5,sorcière,artiste,0.9581959843635559
5,sorcière,celle,0.9581738114356995
5,sorcière,victime,0.9569354057312012
5,sorcière,riche,0.9564449191093445
5,sorcière,frère,0.9563494324684143
5,sorcière,principal,0.9562768936157227
5,sorcière,importante,0.9551478028297424
0,sorcellerie,débordé,0.9965275526046753
0,sorcellerie,accompagnent,0.9961714148521423
0,sorcellerie,drôles,0.9961588978767395
0,sorcellerie,précédents,0.9959680438041687
0,sorcellerie,excellents,0.9959288239479065
0,sorcellerie,aymon,0.9958550333976746
0,sorcellerie,fortes,0.9957563877105713
0,sorcellerie,flammes,0.995722770690918
0,sorcellerie,tirèrent,0.9957056045532227
0,sorcellerie,oriental,0.9956950545310974
0,sorcellerie,pardessus,0.9956890344619751
0,sorcellerie,tuent,0.9956608414649963
0,sorcellerie,prendront,0.9956033825874329
0,sorcellerie,surprises,0.9955835342407227
0,sorcellerie,rail,0.9955794215202332
0,sorcellerie,prédécesseurs,0.9955487847328186
0,sorcellerie,parts,0.9955319166183472
0,sorcellerie,fantômes,0.9955082535743713
0,sorcellerie,portugais,0.9954890608787537
0,sorcellerie,tenaient,0.9954878687858582
3,sorcellerie,oet,0.997969388961792
3,sorcellerie,intense,0.9976993203163147
3,sorcellerie,percer,0.997649610042572
3,sorcellerie,domine,0.9974015951156616
3,sorcellerie,islam,0.9973030090332031
3,sorcellerie,manuela,0.9972981214523315
3,sorcellerie,indépendant,0.9972918033599854
3,sorcellerie,mesurée,0.9972622990608215
3,sorcellerie,financier,0.9972536563873291
3,sorcellerie,proprement,0.997186005115509
3,sorcellerie,singulièrement,0.997149646282196
3,sorcellerie,précédent,0.9971486926078796
3,sorcellerie,conventionnel,0.9971414804458618
3,sorcellerie,impasse,0.9971404671669006
3,sorcellerie,échanges,0.9971363544464111
3,sorcellerie,infiniment,0.9970625638961792
3,sorcellerie,poing,0.997054934501648
3,sorcellerie,bénéfice,0.9970417618751526
